Star_name,Distance,Mass,Radius,Gravity
2MASS J00040288-6410358,192.0,3.7791e+31,1133991000.0,1960.1757065931872
2MASSI J0117474-340325 [de],163.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J01415823-4633574 [de],130.0,3.978e+31,1120077000.0,2114.924430241458
2MASS J02103857-3015313,101.0,2.9835e+31,1064421000.0,1756.4063871680391
2MASS J02340093-6442068,155.0,3.978e+31,1127034000.0,2088.894839059931
2MASS J03231002-4631237,192.0,4.574699999999999e+31,1154862000.0,2287.853809686898
2MASS J04362788-4114465,142.0,7.757099999999999e+31,1370529000.0,2754.5379810034583
TWA 28,180.0,7.160399999999999e+31,1662723000.0,1727.5208956656902
TWA 26,137.0,5.967e+31,1530540000.0000002,1698.9965750915958
2MASS J12074836-3900043,217.0,3.3812999999999997e+31,1189647000.0,1593.577946473975
2MASSI J1726000+153819,114.0,4.7736e+31,973979999.9999999,3356.3850707931947
2MASS J20004841-7523070,105.0,4.9725e+31,1307916000.0,1938.8353099638139
2MASS J23225299-6151275,148.0,3.3812999999999997e+31,1106163000.0,1843.1949975414543
